district,attraction,style,budget,travel_route,weather
Sankhuwasabha,Makalu Barun National Park,adventure,1076.02,,sunny
Rasuwa,Helambu Trek,adventure,1078.89,,sunny
Bardiya,Bardiya National Park,adventure,3132.04,,sunny
Sankhuwasabha,Makalu Barun National Park,adventure,2757.08,Sankhuwasabha to Terhathum,warm
Gulmi,Resunga Hills,adventure,2650.35,,sunny
Dolpa,Phoksundo National Park,adventure,1194.02,,sunny
Jumla,Rara Lake,adventure,2913.2,Jumla to Rukum East to Rolpa,sunny
Dolakha,Kalinchowk Bhagwati Temple,adventure,1165.82,,sunny
Bardiya,Bardiya National Park,adventure,2971.01,,sunny
Darchula,Byas Gaun,adventure,1611.18,Darchula to Bajura to Bajhang,warm
Taplejung,Kanchenjunga Base Camp,adventure,1586.91,,warm
Udayapur,Saptakoshi River,adventure,1679.89,Udayapur to Sunsari to Dhankuta,sunny
Udayapur,Saptakoshi River,adventure,2640.62,Udayapur to Dhankuta to Sunsari,warm
Jumla,Rara Lake,adventure,3011.21,,warm
Myagdi,Annapurna Base Camp,adventure,2510.01,Myagdi to Mustang to Jumla to Dolpa,sunny
Dolakha,Kalinchowk Bhagwati Temple,adventure,2372.06,Dolakha to Kavrepalanchok to Sindhuli to Ramechhap,warm
Sindhupalchok,Helambu,adventure,1095.3,Sindhupalchok to Kavrepalanchok,sunny
Bardiya,Bardiya National Park,adventure,2320.69,,warm
Sankhuwasabha,Makalu Barun National Park,adventure,3407.44,,rainy
Dolpa,Shey Phoksundo Lake,adventure,2178.83,,warm
Udayapur,Saptakoshi River,adventure,2003.6,Udayapur to Saptari to Siraha to Sunsari,sunny
Kaski,Sarangkot,adventure,1082.28,Kaski to Tanahun,rainy
Sindhupalchok,Helambu,adventure,1726.28,,warm
Sindhupalchok,Helambu,adventure,1063.58,,warm
Mustang,Lo Manthang,adventure,920.64,,warm
Nuwakot,Trishuli River,adventure,2628.28,Nuwakot to Dhading,sunny
Rasuwa,Langtang National Park,adventure,1693.67,,rainy
Taplejung,Kanchenjunga Base Camp,adventure,1303.24,,warm
Rukum West,Jumla,adventure,2013.85,,rainy
Dhading,Gajuri,adventure,1551.53,Dhading to Kathmandu to Bhaktapur to Sindhupalchok,warm
Nuwakot,Trishuli River,adventure,2035.39,Nuwakot to Rasuwa to Sindhupalchok to Bhaktapur,sunny
Taplejung,Kanchenjunga Base Camp,adventure,1739.4,,warm
Kanchanpur,Shuklaphanta National Park,adventure,3280.44,Kanchanpur to Kailali to Doti,warm
Jumla,Rara Lake,adventure,1294.22,,warm
Parsa,Parsa Wildlife Reserve,adventure,2351.98,,rainy
Rasuwa,Langtang National Park,adventure,2298.26,,rainy
Nuwakot,Trishuli River,adventure,2472.41,Nuwakot to Dhading to Chitwan,warm
Taplejung,Kanchenjunga Base Camp,adventure,1904.66,Taplejung to Solukhumbu to Khotang,rainy
Mustang,Lo Manthang,adventure,2948.88,,sunny
Banke,Bardiya National Park,adventure,1254.16,Banke to Jajarkot,rainy
Gulmi,Resunga Hills,adventure,2346.33,,sunny
Sindhupalchok,Helambu,adventure,2852.01,,rainy
Parsa,Parsa Wildlife Reserve,adventure,2787.17,,warm
Chitwan,Jungle Safari,adventure,1509.6,,warm
Langtang,Langtang National Park,adventure,1366.67,Langtang to Sindhupalchok to Nuwakot to Rasuwa,warm
Rukum,Rukumkot,adventure,2996.53,,warm
Rasuwa,Helambu Trek,adventure,2411.52,Rasuwa to Nuwakot to Sindhupalchok,sunny
Dolpa,Shey Phoksundo Lake,adventure,1166.09,,warm
Chitwan,Jungle Safari,adventure,3141.03,Chitwan to Nawalparasi,sunny
Rukum East,Salla Pani,adventure,3036.9,Rukum East to Jumla to Kalikot,warm
Darchula,Byas Gaun,adventure,1812.97,Darchula to Bajura,sunny
Gulmi,Resunga Hills,adventure,2675.7,,warm
Myagdi,Dhaulagiri,adventure,2371.28,Myagdi to Mustang,warm
Darchula,Byas Gaun,adventure,3095.29,,warm
Parsa,Parsa Wildlife Reserve,adventure,2135.73,,sunny
Rasuwa,Langtang National Park,adventure,2328.58,,rainy
Kanchanpur,Shuklaphanta National Park,adventure,924.05,Kanchanpur to Kailali,warm
Solukhumbu,Everest Base Camp,adventure,2032.6,,any
Rukum East,Salla Pani,adventure,3181.8,Rukum East to Jumla to Kalikot,sunny
Dolpa,Shey Phoksundo Lake,adventure,1803.98,,cold
Taplejung,Kanchenjunga Base Camp,adventure,2760.17,,warm
Mustang,Lo Manthang,adventure,802.93,,rainy
Banke,Bardiya National Park,adventure,825.07,Banke to Surkhet,warm
Myagdi,Annapurna Base Camp,adventure,1418.16,Myagdi to Baglung,sunny
Sindhupalchok,Helambu,adventure,1170.25,Sindhupalchok to Kavrepalanchok,warm
Kanchanpur,Shuklaphanta National Park,adventure,984.71,,warm
Solukhumbu,Everest Base Camp,adventure,1748.21,Solukhumbu to Bhojpur,sunny
Kanchanpur,Shuklaphanta National Park,adventure,3121.9,,sunny
Sankhuwasabha,Makalu Barun National Park,adventure,2391.85,Sankhuwasabha to Solukhumbu to Khotang,sunny
Dolpa,Shey Phoksundo Lake,adventure,1470.05,Dolpa to Mugu,warm
Kanchanpur,Shuklaphanta National Park,adventure,1354.7,,warm
Taplejung,Kanchenjunga Base Camp,adventure,2544.66,Taplejung to Solukhumbu,warm
Taplejung,Kanchenjunga Base Camp,adventure,1450.92,,warm
Kaski,Sarangkot,adventure,3321.6,Kaski to Myagdi to Mustang to Dolpa,sunny
Kanchanpur,Shuklaphanta National Park,adventure,2859.36,Kanchanpur to Kailali,any
Kaski,Sarangkot,adventure,1382.51,Kaski to Manang,cold
Darchula,Byas Gaun,adventure,1943.65,,rainy
Rasuwa,Langtang National Park,adventure,1549.16,,sunny
Dhading,Gajuri,adventure,2248.25,,sunny
Darchula,Byas Gaun,adventure,1637.46,Darchula to Bajhang,rainy
Banke,Bardiya National Park,adventure,3296.49,,sunny
Chitwan,Jungle Safari,adventure,2598.41,,warm
Kaski,Sarangkot,adventure,2694.05,Kaski to Manang,sunny
Chitwan,Sauraha,relaxation,1071.19,,cold
Syangja,Dewashree Waterfall,relaxation,3971.44,Syangja to Lamjung to Gorkha,sunny
Lamjung,Begnas Lake,relaxation,2732.66,,warm
Terhathum,Tinjure Milke Jaljale,relaxation,2154.6,,rainy
Dhankuta,Dhankuta Bazaar,relaxation,1527.82,,warm
Terhathum,Tinjure Milke Jaljale,relaxation,1600.48,,warm
Chitwan,Sauraha,relaxation,4690.22,,any
Syangja,Dewashree Waterfall,relaxation,1510.32,Syangja to Parbat to Baglung,rainy
Dhankuta,Barju Taal,relaxation,1037.3,,warm
Rukum,Khaptad National Park,relaxation,4793.36,,sunny
Ilam,Antu Danda,relaxation,1972.85,,warm
Rukum,Khaptad National Park,relaxation,3037.13,,rainy
Kavrepalanchok,Dhulikhel,relaxation,3162.61,Kavrepalanchok to Sindhuli,warm
Syangja,Dewashree Waterfall,relaxation,1177.55,,any
Makwanpur,Hetauda,relaxation,3361.74,,warm
Jumla,Rara Lake,relaxation,3915.18,Jumla to Dolpa to Mustang,rainy
Makwanpur,Hetauda,relaxation,2389.17,Makwanpur to Parsa,any
Kaski,Phewa Lake,relaxation,4645.73,,any
Lamjung,Begnas Lake,relaxation,2563.06,,cold
Makwanpur,Hetauda,relaxation,3367.47,,rainy
Kathmandu,Garden of Dreams,relaxation,3481.0,,sunny
Terhathum,Tinjure Milke Jaljale,relaxation,4667.19,Terhathum to Ilam to Morang,rainy
Ilam,Tea Gardens,relaxation,836.09,Ilam to Jhapa,rainy
Chitwan,Sauraha,relaxation,1239.69,,warm
Makwanpur,Hetauda,relaxation,4840.86,,rainy
Ilam,Tea Gardens,relaxation,906.89,,any
Lamjung,Begnas Lake,relaxation,1467.59,,any
Lamjung,Begnas Lake,relaxation,4857.8,,rainy
Ilam,Antu Danda,relaxation,4190.4,Ilam to Panchthar,sunny
Lamjung,Begnas Lake,relaxation,926.26,Lamjung to Kaski,sunny
Kathmandu,Garden of Dreams,relaxation,1088.22,,any
Saptari,Chure Hills,relaxation,3120.46,Saptari to Siraha,rainy
Rukum,Khaptad National Park,relaxation,4141.84,Rukum,sunny
Kaski,Phewa Lake,relaxation,4740.26,Kaski to Myagdi to Manang,sunny
Kathmandu,Garden of Dreams,relaxation,3574.46,,sunny
Chitwan,Sauraha,relaxation,1759.35,,any
Dhankuta,Dhankuta Bazaar,relaxation,3412.75,Dhankuta to Morang,warm
Kaski,Phewa Lake,relaxation,2223.57,,warm
Parbat,Baglung,relaxation,3338.39,Parbat to Kaski to Myagdi,any
Makwanpur,Hetauda,relaxation,2048.15,,warm
Ilam,Tea Gardens,relaxation,617.28,,warm
Parbat,Baglung,relaxation,763.66,,any
Parbat,Baglung,relaxation,4882.91,Parbat to Baglung,sunny
Parbat,Baglung,relaxation,3090.61,,any
Syangja,Dewashree Waterfall,relaxation,1292.45,Syangja to Parbat to Kaski to Lamjung,warm
Lamjung,Begnas Lake,relaxation,4764.01,,warm
Rukum,Khaptad National Park,relaxation,2939.56,,sunny
Kathmandu,Garden of Dreams,relaxation,3207.48,,sunny
Jumla,Rara Lake,relaxation,4129.0,,rainy
Parbat,Baglung,relaxation,768.0,Parbat to Baglung,sunny
Terhathum,Tinjure Milke Jaljale,relaxation,4822.51,Terhathum to Sankhuwasabha to Taplejung,rainy
Jumla,Rara Lake,relaxation,1951.71,Jumla to Rukum East to Salyan,any
Chitwan,Sauraha,relaxation,1504.57,,warm
Ilam,Antu Danda,relaxation,1073.07,Ilam to Morang,cold
Terhathum,Tinjure Milke Jaljale,relaxation,1319.37,Terhathum to Panchthar,rainy
Saptari,Chure Hills,relaxation,4715.1,Saptari to Udayapur,sunny
Jumla,Rara Lake,relaxation,3362.84,Jumla to Kalikot,any
Kavrepalanchok,Dhulikhel,relaxation,1693.46,,rainy
Ilam,Tea Gardens,relaxation,3741.86,,sunny
Tanahun,Bandipur Village,relaxation,4480.48,,warm
Makwanpur,Hetauda,relaxation,956.43,Makwanpur to Rautahat to Parsa to Bara,warm
Kaski,Phewa Lake,relaxation,1827.09,Kaski to Manang,rainy
Chitwan,Sauraha,relaxation,1224.07,Chitwan to Gorkha,sunny
Dhankuta,Barju Taal,relaxation,3670.27,Dhankuta to Bhojpur,warm
Chitwan,Sauraha,relaxation,955.66,,rainy
Lamjung,Begnas Lake,relaxation,3472.69,,rainy
Tanahun,Bandipur Village,relaxation,1191.15,,rainy
Ilam,Antu Danda,relaxation,1398.54,,sunny
Ilam,Tea Gardens,relaxation,2631.07,Ilam to Morang,sunny
Syangja,Dewashree Waterfall,relaxation,910.12,,warm
Syangja,Dewashree Waterfall,relaxation,2162.31,,warm
Kavrepalanchok,Dhulikhel,relaxation,1518.09,,rainy
Parbat,Baglung,relaxation,885.68,,rainy
Parbat,Baglung,relaxation,2991.21,Parbat to Syangja to Gulmi,any
Syangja,Dewashree Waterfall,relaxation,2643.18,Syangja to Lamjung to Tanahun to Kaski,sunny
Parbat,Baglung,relaxation,1277.96,Parbat to Myagdi,any
Kathmandu,Garden of Dreams,relaxation,852.66,,warm
Terhathum,Tinjure Milke Jaljale,relaxation,4253.49,Terhathum to Panchthar,rainy
Tanahun,Bandipur Village,relaxation,2984.24,,any
Syangja,Dewashree Waterfall,relaxation,4039.48,,warm
Tanahun,Bandipur Village,relaxation,2364.99,,sunny
Parbat,Baglung,relaxation,4662.18,,warm
Ilam,Antu Danda,relaxation,4450.52,Ilam to Panchthar,rainy
Kavrepalanchok,Dhulikhel,relaxation,1274.9,,warm
Saptari,Chure Hills,relaxation,674.52,,any
Rukum,Khaptad National Park,relaxation,3855.87,Rukum,any
Jumla,Rara Lake,relaxation,1899.27,Jumla to Dolpa to Mustang to Muktinath (Manang),any
Ilam,Antu Danda,relaxation,3983.14,Ilam to Panchthar,rainy
Kaski,Phewa Lake,relaxation,2487.72,,any
Kavrepalanchok,Dhulikhel,relaxation,4194.58,,warm
Ilam,Antu Danda,relaxation,1110.42,Ilam to Jhapa,any
Rukum,Khaptad National Park,relaxation,4266.4,,rainy
Syangja,Dewashree Waterfall,relaxation,3670.85,Syangja to Gulmi to Palpa to Nawalparasi,rainy
Kathmandu,Garden of Dreams,relaxation,2176.1,,warm
Terhathum,Tinjure Milke Jaljale,relaxation,3140.96,,rainy
Syangja,Dewashree Waterfall,relaxation,3870.33,,warm
Tanahun,Bandipur Village,relaxation,1233.08,Tanahun to Palpa,warm
Rukum,Khaptad National Park,relaxation,1710.88,,warm
Parbat,Baglung,relaxation,2633.44,,sunny
Parbat,Baglung,relaxation,1506.97,Parbat to Kaski to Myagdi to Mustang,warm
Terhathum,Tinjure Milke Jaljale,relaxation,2565.49,,rainy
Makwanpur,Hetauda,relaxation,3130.19,Makwanpur to Lalitpur to Bhaktapur,sunny
Ilam,Tea Gardens,relaxation,2667.82,,rainy
Jumla,Rara Lake,relaxation,1675.16,Jumla to Mugu,cold
Chitwan,Sauraha,relaxation,4548.59,Chitwan to Dhading to Rasuwa to Sindhupalchok,any
Chitwan,Sauraha,relaxation,3449.3,,any
Tanahun,Bandipur Village,relaxation,2247.24,Tanahun to Lamjung to Gorkha to Dhading,sunny
Lamjung,Begnas Lake,relaxation,3588.43,,warm
Saptari,Chure Hills,relaxation,2782.92,Saptari to Siraha to Sunsari to Morang,any
Kavrepalanchok,Dhulikhel,relaxation,3834.14,,cold
Syangja,Dewashree Waterfall,relaxation,4761.16,Syangja to Parbat,any
Rukum,Khaptad National Park,relaxation,2392.13,,any
Dhankuta,Barju Taal,relaxation,2586.92,,sunny
Saptari,Chure Hills,relaxation,2624.99,,sunny
Saptari,Chure Hills,relaxation,2884.27,Saptari to Siraha,warm
Rukum,Khaptad National Park,relaxation,2341.36,Rukum,warm
Chitwan,Sauraha,relaxation,4380.77,,sunny
Jumla,Rara Lake,relaxation,1910.36,,sunny
Rukum,Khaptad National Park,relaxation,3093.26,Rukum,sunny
Chitwan,Sauraha,relaxation,3350.69,Chitwan to Makwanpur to Rautahat,warm
Makwanpur,Hetauda,relaxation,3787.97,Makwanpur to Rautahat to Bara to Parsa,any
Saptari,Chure Hills,relaxation,1518.2,,any
Kaski,Phewa Lake,relaxation,2765.01,,rainy
Kathmandu,Garden of Dreams,relaxation,4768.09,,warm
Makwanpur,Hetauda,relaxation,2451.49,,warm
Syangja,Dewashree Waterfall,relaxation,2116.63,Syangja to Lamjung to Tanahun,sunny
Rukum,Khaptad National Park,relaxation,1450.36,,sunny
Kaski,Phewa Lake,relaxation,3700.0,,cold
Saptari,Chure Hills,relaxation,3970.62,,warm
Kathmandu,Garden of Dreams,relaxation,3441.05,Kathmandu to Nuwakot to Rasuwa,sunny
Kaski,Phewa Lake,relaxation,2634.78,Kaski to Lamjung to Gorkha to Dhading,sunny
Saptari,Chure Hills,relaxation,3481.17,,rainy
Chitwan,Sauraha,relaxation,4237.94,Chitwan to Gorkha,sunny
Kaski,Phewa Lake,relaxation,2739.83,Kaski to Tanahun to Syangja to Gulmi,warm
Tanahun,Bandipur Village,relaxation,1221.68,Tanahun to Syangja to Parbat to Baglung,warm
Kathmandu,Garden of Dreams,relaxation,3522.35,Kathmandu to Nuwakot to Dhading to Chitwan,any
Parbat,Baglung,relaxation,3756.04,,sunny
Rukum,Khaptad National Park,relaxation,4949.0,,rainy
Kaski,Phewa Lake,relaxation,4433.63,,any
Saptari,Chure Hills,relaxation,2416.98,Saptari to Siraha,sunny
Terhathum,Tinjure Milke Jaljale,relaxation,3485.1,,sunny
Kavrepalanchok,Dhulikhel,relaxation,4453.14,Kavrepalanchok to Sindhupalchok,sunny
Tanahun,Bandipur Village,relaxation,4830.39,,rainy
Terhathum,Tinjure Milke Jaljale,relaxation,4099.55,Terhathum to Panchthar,warm
Lamjung,Begnas Lake,relaxation,4917.06,,any
Syangja,Dewashree Waterfall,relaxation,4110.19,,warm
Tanahun,Bandipur Village,relaxation,3251.11,Tanahun to Lamjung to Manang,any
Syangja,Dewashree Waterfall,relaxation,1008.22,,warm
Ilam,Antu Danda,relaxation,555.62,,any
Lamjung,Begnas Lake,relaxation,4900.53,,warm
Makwanpur,Hetauda,relaxation,2447.82,,cold
Saptari,Chure Hills,relaxation,1168.95,Saptari to Siraha to Dhanusha to Rautahat,any
Syangja,Dewashree Waterfall,relaxation,2775.05,,warm
Chitwan,Sauraha,relaxation,3881.44,,rainy
Ilam,Tea Gardens,relaxation,2781.18,,warm
Terhathum,Tinjure Milke Jaljale,relaxation,854.74,,warm
Kaski,Phewa Lake,relaxation,2511.81,,sunny
Saptari,Chure Hills,relaxation,961.89,,warm
Kathmandu,Garden of Dreams,relaxation,4063.02,,any
Syangja,Dewashree Waterfall,relaxation,3445.68,,warm
Terhathum,Tinjure Milke Jaljale,relaxation,4174.65,,any
Parbat,Baglung,relaxation,3724.96,,rainy
Kaski,Phewa Lake,relaxation,509.89,,rainy
Parbat,Baglung,relaxation,2964.61,,rainy
Syangja,Dewashree Waterfall,relaxation,2715.9,Syangja to Lamjung to Gorkha,any
Dhankuta,Dhankuta Bazaar,relaxation,1343.95,,any
Kavrepalanchok,Dhulikhel,relaxation,3725.55,,sunny
Syangja,Dewashree Waterfall,relaxation,3974.65,Syangja to Tanahun to Chitwan to Makwanpur,warm
Makwanpur,Hetauda,relaxation,2989.52,,warm
Syangja,Dewashree Waterfall,relaxation,3613.18,Syangja to Gulmi,sunny
Saptari,Chure Hills,relaxation,2768.5,Saptari to Siraha to Sunsari to Dhankuta,rainy
Jumla,Rara Lake,relaxation,2537.81,,sunny
Lamjung,Begnas Lake,relaxation,4293.83,,warm
Lamjung,Begnas Lake,relaxation,1404.0,,warm
Jumla,Rara Lake,relaxation,4916.01,Jumla to Salyan,warm
Lamjung,Begnas Lake,relaxation,3696.59,,cold
Dhankuta,Barju Taal,relaxation,3534.1,,any
Syangja,Dewashree Waterfall,relaxation,4137.37,,warm
Chitwan,Sauraha,relaxation,3516.14,Chitwan to Gorkha,sunny
Saptari,Chure Hills,relaxation,1158.93,Saptari to Morang,sunny
Kathmandu,Garden of Dreams,relaxation,4163.12,Kathmandu to Sindhupalchok to Rasuwa to Nuwakot,sunny
Rukum,Khaptad National Park,relaxation,3618.21,,sunny
Tanahun,Bandipur Village,relaxation,4846.25,Tanahun to Chitwan,sunny
Terhathum,Tinjure Milke Jaljale,relaxation,4234.93,Terhathum to Ilam to Panchthar,any
Makwanpur,Hetauda,relaxation,3992.66,,any
Chitwan,Sauraha,relaxation,1341.39,,sunny
Tanahun,Bandipur Village,relaxation,2428.29,,warm
Dhankuta,Barju Taal,relaxation,525.4,Dhankuta to Sunsari,warm
Syangja,Dewashree Waterfall,relaxation,3185.96,,cold
Terhathum,Tinjure Milke Jaljale,relaxation,2707.48,,warm
Parbat,Baglung,relaxation,2864.28,,any
Parbat,Baglung,relaxation,2371.69,,warm
Rukum,Khaptad National Park,relaxation,3485.01,,rainy
Parbat,Baglung,relaxation,4984.84,Parbat to Baglung,any
Saptari,Chure Hills,relaxation,2505.5,,any
Dhankuta,Dhankuta Bazaar,relaxation,4815.04,,warm
Syangja,Dewashree Waterfall,relaxation,2236.44,,warm
Syangja,Dewashree Waterfall,relaxation,2814.39,,warm
Ilam,Tea Gardens,relaxation,1941.41,,sunny
Parbat,Baglung,relaxation,3321.2,,rainy
Rukum,Khaptad National Park,relaxation,4260.49,Rukum,rainy
Parbat,Baglung,relaxation,3409.53,Parbat to Baglung,any
Kavrepalanchok,Dhulikhel,relaxation,670.49,,sunny
Ilam,Tea Gardens,relaxation,3087.33,,rainy
Tanahun,Bandipur Village,relaxation,3335.98,,warm
Saptari,Chure Hills,relaxation,2906.75,,warm
Parbat,Baglung,relaxation,3653.97,Parbat to Kaski,sunny
Parbat,Baglung,relaxation,3229.55,Parbat to Syangja to Gulmi,rainy
Kathmandu,Garden of Dreams,relaxation,1203.46,Kathmandu to Dhading to Gorkha to Syangja,rainy
Saptari,Chure Hills,relaxation,4808.26,Saptari to Siraha,sunny
Kathmandu,Garden of Dreams,relaxation,3077.23,,rainy
Kaski,Phewa Lake,relaxation,1445.24,Kaski to Myagdi,cold
Syangja,Dewashree Waterfall,relaxation,1224.29,Syangja to Lamjung,rainy
Chitwan,Sauraha,relaxation,4331.24,Chitwan to Makwanpur to Nawalparasi,any
Saptari,Chure Hills,relaxation,1628.09,,sunny
Jumla,Rara Lake,relaxation,1076.97,,warm
Dhankuta,Dhankuta Bazaar,relaxation,4550.53,,rainy
Dhankuta,Barju Taal,relaxation,3620.56,,sunny
Parbat,Baglung,relaxation,4813.97,,sunny
Parbat,Baglung,relaxation,3704.9,,warm
Jumla,Rara Lake,relaxation,3558.11,,rainy
Kavrepalanchok,Dhulikhel,relaxation,3986.45,,warm
Saptari,Chure Hills,relaxation,4288.07,,any
Makwanpur,Hetauda,relaxation,1684.56,,any
Kaski,Phewa Lake,relaxation,4323.14,Kaski to Myagdi to Baglung,warm
Syangja,Dewashree Waterfall,relaxation,2982.17,Syangja to Tanahun to Gorkha,warm
Tanahun,Bandipur Village,relaxation,4511.47,Tanahun to Syangja,warm
Makwanpur,Hetauda,relaxation,2285.53,Makwanpur to Rautahat to Parsa to Bara,warm
Chitwan,Sauraha,relaxation,3048.61,Chitwan to Dhading,warm
Jumla,Rara Lake,relaxation,1484.69,,warm
Jumla,Rara Lake,relaxation,692.64,Jumla to Rukum East to Salyan,rainy
Syangja,Dewashree Waterfall,relaxation,4466.98,,sunny
Kaski,Phewa Lake,relaxation,4256.93,,rainy
Chitwan,Sauraha,relaxation,3441.54,Chitwan to Gorkha,rainy
Tanahun,Bandipur Village,relaxation,2823.67,Tanahun to Syangja to Gulmi,rainy
Kathmandu,Garden of Dreams,relaxation,2479.54,,rainy
Ilam,Tea Gardens,relaxation,1176.08,,sunny
Terhathum,Tinjure Milke Jaljale,relaxation,3474.99,,warm
Kaski,Phewa Lake,relaxation,3538.53,,warm
Saptari,Chure Hills,relaxation,601.01,,sunny
Chitwan,Sauraha,relaxation,3332.93,,sunny
Kathmandu,Garden of Dreams,relaxation,1662.17,Kathmandu to Sindhupalchok to Bhaktapur to Lalitpur,sunny
Syangja,Dewashree Waterfall,relaxation,4762.64,,rainy
Kavrepalanchok,Dhulikhel,relaxation,1267.55,,any
Parbat,Baglung,relaxation,3304.45,,warm
Saptari,Chure Hills,relaxation,4650.58,,warm
Tanahun,Bandipur Village,relaxation,1094.96,,sunny
Syangja,Dewashree Waterfall,relaxation,4219.31,,warm
Syangja,Dewashree Waterfall,relaxation,4449.89,Syangja to Gulmi,warm
Saptari,Chure Hills,relaxation,4558.93,,warm
Parbat,Baglung,relaxation,2849.2,,rainy
Makwanpur,Hetauda,relaxation,1532.69,Makwanpur to Parsa to Bara,any
Tanahun,Bandipur Village,relaxation,1645.33,Tanahun to Gorkha,cold
Dhankuta,Barju Taal,relaxation,1660.12,Dhankuta to Morang,sunny
Makwanpur,Hetauda,relaxation,2187.63,Makwanpur to Parsa to Bara,rainy
Chitwan,Sauraha,relaxation,3432.09,Chitwan to Gorkha to Syangja,rainy
Saptari,Chure Hills,relaxation,3897.37,Saptari to Siraha to Sunsari,warm
Makwanpur,Hetauda,relaxation,1642.0,,rainy
Lamjung,Begnas Lake,relaxation,3811.02,Lamjung to Tanahun to Chitwan to Nawalparasi,any
Kaski,Phewa Lake,relaxation,2787.55,Kaski to Lamjung to Syangja to Parbat,cold
Saptari,Chure Hills,relaxation,4119.66,,any
Dhankuta,Barju Taal,relaxation,896.63,,rainy
Dhankuta,Dhankuta Bazaar,relaxation,3760.23,,any
Saptari,Chure Hills,relaxation,3702.23,Saptari to Morang,warm
Kavrepalanchok,Dhulikhel,relaxation,548.2,Kavrepalanchok to Kathmandu to Bhaktapur to Lalitpur,any
Parbat,Baglung,relaxation,3268.35,,warm
Saptari,Chure Hills,relaxation,4890.41,,sunny
Tanahun,Bandipur Village,relaxation,3513.48,,warm
Kathmandu,Garden of Dreams,relaxation,4636.3,Kathmandu to Sindhupalchok to Langtang to Nuwakot,warm
Terhathum,Tinjure Milke Jaljale,relaxation,1518.33,,any
Tanahun,Bandipur Village,relaxation,1674.98,,warm
Kaski,Phewa Lake,relaxation,2029.85,,sunny
Ilam,Antu Danda,relaxation,3623.86,,any
Parbat,Baglung,relaxation,3908.63,,any
Kavrepalanchok,Dhulikhel,relaxation,2668.87,,rainy
Parbat,Baglung,relaxation,3546.11,,rainy
Jumla,Rara Lake,relaxation,3653.68,,rainy
Tanahun,Bandipur Village,relaxation,842.13,,any
Jumla,Rara Lake,relaxation,4524.42,Jumla to Mugu,rainy
Kavrepalanchok,Dhulikhel,relaxation,1556.88,,rainy
Rukum,Khaptad National Park,relaxation,4257.23,,any
Parbat,Baglung,relaxation,1039.45,Parbat to Baglung,sunny
Parbat,Baglung,relaxation,4316.05,,rainy
Syangja,Dewashree Waterfall,relaxation,2708.62,Syangja to Gulmi to Arghakhanchi,any
Parbat,Baglung,relaxation,743.67,,cold
Makwanpur,Hetauda,relaxation,2761.14,Makwanpur to Nawalparasi,rainy
Kaski,Phewa Lake,relaxation,1920.43,Kaski to Lamjung to Gorkha,sunny
Jumla,Rara Lake,relaxation,1342.19,,rainy
Dhankuta,Barju Taal,relaxation,2146.66,,warm
Lamjung,Begnas Lake,relaxation,2142.85,,warm
Dhankuta,Dhankuta Bazaar,relaxation,4906.73,Dhankuta to Udayapur to Okhaldhunga to Ramechhap,warm
Terhathum,Tinjure Milke Jaljale,relaxation,1382.28,Terhathum to Panchthar,any
Chitwan,Sauraha,relaxation,2748.19,Chitwan to Gorkha to Dhading to Rasuwa,any
Ilam,Tea Gardens,relaxation,2292.81,,warm
Terhathum,Tinjure Milke Jaljale,relaxation,2644.43,,warm
Jumla,Rara Lake,relaxation,2124.33,Jumla to Kalikot,warm
Kathmandu,Garden of Dreams,relaxation,1045.57,Kathmandu to Sindhupalchok,any
Dhankuta,Dhankuta Bazaar,relaxation,4907.18,,rainy
Makwanpur,Hetauda,relaxation,3986.35,,warm
Dhankuta,Barju Taal,relaxation,2586.88,Dhankuta to Udayapur to Saptari to Morang,any
Terhathum,Tinjure Milke Jaljale,relaxation,856.0,,rainy
Saptari,Chure Hills,relaxation,3696.95,,warm
Syangja,Dewashree Waterfall,relaxation,4014.38,Syangja to Gulmi to Rolpa,any
Chitwan,Sauraha,relaxation,4343.95,,sunny
Ilam,Tea Gardens,relaxation,1447.57,,rainy
Syangja,Dewashree Waterfall,relaxation,2967.95,,sunny
Parbat,Baglung,relaxation,967.68,,warm
Syangja,Dewashree Waterfall,relaxation,1892.17,,rainy
Saptari,Chure Hills,relaxation,1090.75,,any
Saptari,Chure Hills,relaxation,4371.66,,rainy
Terhathum,Tinjure Milke Jaljale,relaxation,2968.45,Terhathum to Panchthar,sunny
Dhankuta,Barju Taal,relaxation,3339.71,,warm
Makwanpur,Hetauda,relaxation,4590.15,,warm
Kaski,Phewa Lake,relaxation,1885.41,,warm
Kathmandu,Garden of Dreams,relaxation,2854.92,,cold
Ilam,Antu Danda,relaxation,2907.94,,warm
Parbat,Baglung,relaxation,1848.25,Parbat to Myagdi to Kaski to Manang,cold
Jumla,Rara Lake,relaxation,2352.81,,warm
Chitwan,Sauraha,relaxation,4227.92,,rainy
Saptari,Chure Hills,relaxation,2824.75,,cold
Lamjung,Begnas Lake,relaxation,1781.05,Lamjung to Tanahun to Kaski,cold
Chitwan,Sauraha,relaxation,1803.18,,warm
Ilam,Antu Danda,relaxation,1345.05,,sunny
Makwanpur,Hetauda,relaxation,1336.72,,sunny
Lamjung,Begnas Lake,relaxation,3771.98,,rainy
Kavrepalanchok,Dhulikhel,relaxation,2038.61,Kavrepalanchok to Ramechhap to Sindhuli,rainy
Jumla,Rara Lake,relaxation,4295.96,,any
