Name,City,District,Type,BestTimeToVisit
Tribeni Dham,Salyan,Salyan,Historical,Winter
Lwang Ghalel Village,Lamjung,Lamjung,Cultural,All Year
Barpak,Gorkha,Gorkha,Natural,Monsoon
Nyatapola Temple,Bhaktapur,Bhaktapur,Natural,Spring
Bajura Budhinanda Lake,Bajura,Bajura,Wildlife,Autumn
Resunga,Gulmi,Gulmi,Religious,Spring
Triveni Dham,Darchula,Darchula,Cultural,Winter
Tila River Valley,Jumla,Jumla,Natural,All Year
Bhanbhane Pokhari,Okhaldhunga,Okhaldhunga,Historical,All Year
Soti Khola,Solukhumbu,Solukhumbu,Natural,Spring
Simraungadh Ruins,Bara,Bara,Wildlife,Autumn
Tengboche Monastery,Solukhumbu,Solukhumbu,Historical,Autumn
Dodhara Chandani Bridge,Kailali,Kailali,Wildlife,Winter
Kharpunath,Darchula,Darchula,Religious,Autumn
Shey Phoksundo Lake,Dolpa,Dolpa,Historical,Winter
Pashupatinath Temple,Kathmandu,Kathmandu,Religious,Monsoon
Lamjung Himal Base Camp,Lamjung,Lamjung,Cultural,Spring
Elephant Breeding Center,Chitwan,Chitwan,Religious,Winter
Shree Antu Sunrise Point,Ilam,Ilam,Cultural,Spring
Khandadevi Temple,Ramechhap,Ramechhap,Wildlife,Spring
Chainpur Bazaar,Dhading,Dhading,Historical,Spring
Pakuwal Lake,Sunsari,Sunsari,Cultural,Monsoon
Rangeli,Morang,Morang,Historical,Autumn
Begnas Lake,Kaski,Kaski,Religious,Autumn
Sarangkot,Kaski,Kaski,Adventure,Spring
Lwang Ghalel Village,Lamjung,Lamjung,Historical,All Year
Bindhyabasini Temple,Kaski,Kaski,Historical,Monsoon
Aathbish Danda,Lamjung,Lamjung,Wildlife,Autumn
Dhaulagiri Base Camp,Myagdi,Myagdi,Historical,Monsoon
Palung Valley,Makwanpur,Makwanpur,Adventure,Spring
Namobuddha,Kavrepalanchok,Kavrepalanchok,Natural,Monsoon
Sandakpur,Ilam,Ilam,Historical,Monsoon
Champadevi Hill,Kathmandu,Kathmandu,Natural,All Year
Salpa Pokhari,Dolakha,Dolakha,Natural,All Year
Phewa Lake,Kaski,Kaski,Historical,Autumn
Kushma Cliff Bridge,Parbat,Parbat,Cultural,Autumn
Ridi Bazaar,Gulmi,Gulmi,Historical,Spring
Bhimsen Temple,Bhaktapur,Bhaktapur,Religious,Spring
Panchase Hill,Syangja,Syangja,Religious,Winter
Rukumkot,Rukum,Rukum,Historical,Spring
Gupteshwor Cave,Kaski,Kaski,Cultural,Monsoon
Rolpa Martyrs Trail,Rolpa,Rolpa,Religious,Monsoon
Makalu Base Camp,Sankhuwasabha,Sankhuwasabha,Religious,Spring
Sandakpur,Ilam,Ilam,Natural,Monsoon
Bhairabi Temple,Dolakha,Dolakha,Natural,Autumn
Bhotekoshi Bungee Jump,Sindhupalchok,Sindhupalchok,Adventure,Spring
Siddha Gufa,Palpa,Palpa,Natural,Autumn
Tsum Valley,Gorkha,Gorkha,Natural,All Year
Patal Bhuvaneshwor Cave,Lalitpur,Lalitpur,Historical,Spring
Elephant Breeding Center,Chitwan,Chitwan,Religious,Spring
Naag Pokhari,Kathmandu,Kathmandu,Adventure,Monsoon
Chhahara Waterfall,Rukum,Rukum,Wildlife,Autumn
World Peace Pagoda,Kaski,Kaski,Religious,All Year
Kushma Cliff Bridge,Parbat,Parbat,Cultural,All Year
Kapilvastu Ruins,Kapilvastu,Kapilvastu,Natural,Autumn
Belbari Forest,Morang,Morang,Historical,All Year
Panchase Hill,Syangja,Syangja,Cultural,Autumn
Ghale Gaun,Lamjung,Lamjung,Cultural,Winter
Narchyang Waterfall,Myagdi,Myagdi,Wildlife,All Year
Namobuddha,Kavrepalanchok,Kavrepalanchok,Wildlife,Autumn
Bungamati Village,Lalitpur,Lalitpur,Religious,Spring
Dhorpatan Valley,Baglung,Baglung,Adventure,All Year
Gupteshwor Cave,Kaski,Kaski,Cultural,Spring
Baundeshwor Cave,Chitwan,Chitwan,Wildlife,Monsoon
Namobuddha,Kavrepalanchok,Kavrepalanchok,Natural,Monsoon
Okhaldhunga Memorial Park,Okhaldhunga,Okhaldhunga,Natural,Autumn
Api Base Camp,Darchula,Darchula,Natural,All Year
Hanuman Temple,Kathmandu,Kathmandu,Historical,Autumn
Koshi Barrage,Saptari,Saptari,Natural,Winter
Ghodepani,Kaski,Kaski,Natural,Winter
Manaslu Base Camp,Gorkha,Gorkha,Cultural,Spring
Gorkha Durbar,Gorkha,Gorkha,Adventure,Winter
Pashupatinath Temple,Kathmandu,Kathmandu,Cultural,All Year
Nepalgunj,Banke,Banke,Wildlife,Autumn
Phewa Lake,Kaski,Kaski,Adventure,All Year
Namobuddha,Kavrepalanchok,Kavrepalanchok,Adventure,All Year
Rolpa Martyrs Trail,Rolpa,Rolpa,Natural,Monsoon
Ghale Gaun,Lamjung,Lamjung,Wildlife,Winter
Bhedetar View Tower,Dhankuta,Dhankuta,Wildlife,Winter
Laprak,Gorkha,Gorkha,Wildlife,All Year
Khandadevi Temple,Ramechhap,Ramechhap,Cultural,Autumn
Thakurdwara,Bardiya,Bardiya,Religious,All Year
Bhairabi Temple,Dolakha,Dolakha,Adventure,All Year
Kulekhani Reservoir,Makwanpur,Makwanpur,Historical,Spring
Dhulikhel View Tower,Kavrepalanchok,Kavrepalanchok,Natural,Autumn
Swargadwari,Pyuthan,Pyuthan,Historical,Spring
Kagbeni,Mustang,Mustang,Cultural,All Year
Diktel Bazaar,Khotang,Khotang,Cultural,Autumn
Pulchowki Hill,Lalitpur,Lalitpur,Religious,All Year
Manakamana Temple,Gorkha,Gorkha,Historical,Autumn
Simraungadh Ruins,Bara,Bara,Wildlife,Autumn
Basantapur,Unknown,Unknown,Historical,All Year
Bardia National Park,Bardiya,Bardiya,Religious,Spring
Tamang Heritage Trail,Rasuwa,Rasuwa,Natural,Monsoon
Tallo Dungeshwor,Dhading,Dhading,Religious,Monsoon
Ram Mandir,Kathmandu,Kathmandu,Religious,Autumn
Numbur Cheese Circuit,Ramechhap,Ramechhap,Religious,Winter
Diktel Bazaar,Khotang,Khotang,Cultural,Winter
Okhaldhunga Memorial Park,Okhaldhunga,Okhaldhunga,Adventure,Autumn
Kharpunath,Darchula,Darchula,Cultural,Winter
Gahawa Mai Temple,Kapilvastu,Kapilvastu,Cultural,All Year
Silichho Peak,Dolakha,Dolakha,Wildlife,Winter
Gupteshwor Cave,Kaski,Kaski,Wildlife,Monsoon
Ghale Gaun,Lamjung,Lamjung,Natural,All Year
Aathbish Danda,Lamjung,Lamjung,Adventure,Spring
Pashupatinath Temple,Kathmandu,Kathmandu,Adventure,Spring
Lumbini - Birthplace of Buddha,Rupandehi,Rupandehi,Cultural,All Year
Ashoka Pillar,Rupandehi,Rupandehi,Natural,All Year
Mallaj,Myagdi,Myagdi,Cultural,Autumn
Bhairahawa Buddha Park,Rupandehi,Rupandehi,Cultural,Spring
Tengboche Monastery,Solukhumbu,Solukhumbu,Wildlife,Autumn
Rolpa Martyrs Trail,Rolpa,Rolpa,Historical,Autumn
Hiranya Varna Mahavihar,Kathmandu,Kathmandu,Cultural,Autumn
Gorkha Durbar,Gorkha,Gorkha,Cultural,Winter
Khandadevi Temple,Ramechhap,Ramechhap,Historical,Autumn
Chhimkeshwori,Dhading,Dhading,Historical,Monsoon
Pulchowki Hill,Lalitpur,Lalitpur,Religious,Spring
Chhanwa Gumba,Sunsari,Sunsari,Natural,Spring
Trishuli River View,Nuwakot,Nuwakot,Cultural,All Year
Nyatapola Temple,Bhaktapur,Bhaktapur,Natural,Monsoon
Hanuman Temple,Kathmandu,Kathmandu,Religious,All Year
Tallo Dungeshwor,Dhading,Dhading,Adventure,Autumn
Laprak,Gorkha,Gorkha,Wildlife,Monsoon
Chandannath Temple,Jajarkot,Jajarkot,Historical,Spring
Lo Manthang,Mustang,Mustang,Cultural,Monsoon
Khopra Danda,Syangja,Syangja,Historical,Spring
Kakrebihar,Kailali,Kailali,Historical,All Year
Muktinath Temple,Mustang,Mustang,Adventure,All Year
Hanuman Temple,Kathmandu,Kathmandu,Adventure,Winter
Dodhara Chandani Bridge,Kailali,Kailali,Historical,All Year
Muktinath Temple,Mustang,Mustang,Cultural,Monsoon
Taudaha Lake,Kathmandu,Kathmandu,Adventure,Spring
Ramaroshan Wetland,Achham,Achham,Natural,Monsoon
Tatopani Hot Spring,Myagdi,Myagdi,Cultural,All Year
Antu Danda,Ilam,Ilam,Adventure,Autumn
Bungamati Village,Lalitpur,Lalitpur,Cultural,Autumn
Lwang Ghalel Village,Lamjung,Lamjung,Wildlife,Winter
Maipokhari,Ilam,Ilam,Adventure,Monsoon
Bageshwori Temple,Banke,Banke,Religious,Winter
Panch Pokhari,Sindhupalchok,Sindhupalchok,Historical,Spring
Badhaiya Tal,Rukum,Rukum,Historical,Spring
Seti River Gorge,Doti,Doti,Historical,Monsoon
Okhaldhunga Memorial Park,Okhaldhunga,Okhaldhunga,Wildlife,Autumn
Kali Gandaki Gorge,Myagdi,Myagdi,Wildlife,Monsoon
Chhahara Waterfall,Rukum,Rukum,Wildlife,Spring
Bhaktapur Durbar Square,Bhaktapur,Bhaktapur,Natural,All Year
Seti River Gorge,Doti,Doti,Historical,Autumn
Diktel Bazaar,Khotang,Khotang,Wildlife,Monsoon
Sundarijal,Kathmandu,Kathmandu,Religious,Autumn
Khandadevi Temple,Ramechhap,Ramechhap,Natural,Autumn
Khaptad Baba Ashram,Doti,Doti,Historical,All Year
Mahaboudha Temple,Kathmandu,Kathmandu,Religious,Monsoon
Nyatapola Temple,Bhaktapur,Bhaktapur,Natural,Autumn
Chobhar Gorge,Kathmandu,Kathmandu,Historical,All Year
Panch Pokhari,Sindhupalchok,Sindhupalchok,Religious,Monsoon
Gokyo Lakes,Solukhumbu,Solukhumbu,Adventure,Spring
Bajura Budhinanda Lake,Bajura,Bajura,Wildlife,Winter
Api Base Camp,Darchula,Darchula,Religious,Autumn
Bhedetar Zipline,Dhankuta,Dhankuta,Historical,Autumn
Chhanwa Gumba,Sunsari,Sunsari,Cultural,Winter
Deurali Gumba,Syangja,Syangja,Natural,Spring
Khaptad Baba Ashram,Doti,Doti,Natural,Spring
Ghodepani,Kaski,Kaski,Wildlife,Monsoon
Begnas Lake,Kaski,Kaski,Wildlife,All Year
Kapilvastu Ruins,Kapilvastu,Kapilvastu,Cultural,Spring
Garden of Dreams,Kathmandu,Kathmandu,Religious,Spring
Basantapur,Unknown,Unknown,Wildlife,Autumn
Tatopani Hot Spring,Myagdi,Myagdi,Wildlife,All Year
Khaptad National Park,Doti,Doti,Adventure,Spring
Numbur Cheese Circuit,Ramechhap,Ramechhap,Cultural,Monsoon
Ruru Kshetra,Gulmi,Gulmi,Religious,Spring
Basantapur,Unknown,Unknown,Natural,Monsoon
Deurali Gumba,Syangja,Syangja,Historical,Monsoon
Kapuche Glacier Lake,Dolpa,Dolpa,Wildlife,Autumn
Hanuman Dhoka,Kathmandu,Kathmandu,Natural,Spring
Sailung Danda,Dolakha,Dolakha,Wildlife,Autumn
Thabang Village,Rolpa,Rolpa,Religious,All Year
Tatopani Hot Spring,Myagdi,Myagdi,Natural,Monsoon
Kapuche Glacier Lake,Dolpa,Dolpa,Natural,Winter
Poon Hill,Kaski,Kaski,Adventure,Monsoon
Api Base Camp,Darchula,Darchula,Historical,All Year
Shuklaphanta National Park,Kailali,Kailali,Historical,Monsoon
Kangchenjunga Base Camp,Taplejung,Taplejung,Wildlife,Autumn
Phulchowki Botanical Garden,Lalitpur,Lalitpur,Natural,Winter
Guerrilla Trek,Rolpa,Rolpa,Wildlife,Monsoon
Bhairav Kunda,Sindhupalchok,Sindhupalchok,Cultural,Autumn
Rani Mahal,Palpa,Palpa,Natural,Autumn
Panchase Hill,Syangja,Syangja,Wildlife,Autumn
Bhanbhane Pokhari,Okhaldhunga,Okhaldhunga,Historical,Monsoon
Kulekhani Reservoir,Makwanpur,Makwanpur,Historical,Autumn
Siruwa Pokhari,Makwanpur,Makwanpur,Historical,All Year
Hanuman Temple,Kathmandu,Kathmandu,Religious,All Year
Poon Hill,Kaski,Kaski,Wildlife,Spring
Api Base Camp,Darchula,Darchula,Natural,Autumn
Banskharka Orange Farm,Syangja,Syangja,Religious,Autumn
Bhairav Kunda,Sindhupalchok,Sindhupalchok,Cultural,Monsoon
Ramaroshan Wetland,Achham,Achham,Wildlife,Winter
Soti Khola,Solukhumbu,Solukhumbu,Wildlife,All Year
Khokana,Lalitpur,Lalitpur,Adventure,Winter
Dodhara Chandani Bridge,Kailali,Kailali,Natural,Monsoon
Begnas Lake,Kaski,Kaski,Natural,All Year
Koshi Barrage,Saptari,Saptari,Religious,Winter
Saipal Base Camp,Bajhang,Bajhang,Religious,Spring
Hiranya Varna Mahavihar,Kathmandu,Kathmandu,Religious,Spring
Diktel Bazaar,Khotang,Khotang,Cultural,Winter
Ranighat Palace,Nawalpur,Nawalpur,Wildlife,Autumn
Kapuche Glacier Lake,Dolpa,Dolpa,Cultural,Monsoon
Muktinath Temple,Mustang,Mustang,Cultural,Winter
Pakuwal Lake,Sunsari,Sunsari,Historical,Autumn
Patan Durbar Square,Lalitpur,Lalitpur,Natural,Winter
Swargadwari,Pyuthan,Pyuthan,Historical,Winter
Naag Pokhari,Kathmandu,Kathmandu,Natural,Spring
Aathbish Danda,Lamjung,Lamjung,Religious,Spring
Badhaiya Tal,Rukum,Rukum,Cultural,Winter
Hanuman Dhoka,Kathmandu,Kathmandu,Religious,Monsoon
Maipokhari,Ilam,Ilam,Adventure,Winter
Ramdhuni Mandir,Sunsari,Sunsari,Religious,Winter
Tharu Village,Chitwan,Chitwan,Religious,Monsoon
Panch Pokhari,Sindhupalchok,Sindhupalchok,Cultural,Autumn
Ghodepani,Kaski,Kaski,Cultural,Spring
Saipal Base Camp,Bajhang,Bajhang,Cultural,Winter
Bhairav Kunda,Sindhupalchok,Sindhupalchok,Religious,All Year
Kulekhani Reservoir,Makwanpur,Makwanpur,Wildlife,Spring
Budhi Gandaki Valley,Gorkha,Gorkha,Historical,Spring
Basantapur,Unknown,Unknown,Adventure,Spring
Sandakpur,Ilam,Ilam,Wildlife,Monsoon
Rishikesh Complex (Devghat),Nawalpur,Nawalpur,Religious,Monsoon
Bhimsen Temple,Bhaktapur,Bhaktapur,Natural,Winter
Khokana,Lalitpur,Lalitpur,Historical,Autumn
Khaptad Baba Ashram,Doti,Doti,Natural,Winter
Chandragiri Hills,Kathmandu,Kathmandu,Natural,Spring
Kamalbari Lake,Myagdi,Myagdi,Wildlife,Spring
World Peace Pagoda,Kaski,Kaski,Wildlife,Winter
Lamjung Himal Base Camp,Lamjung,Lamjung,Historical,Winter
Pakhure Pokhari,Syangja,Syangja,Religious,Winter
Mohare Danda,Syangja,Syangja,Religious,Autumn
Shuklaphanta National Park,Kailali,Kailali,Natural,Autumn
Rishikesh Complex (Devghat),Nawalpur,Nawalpur,Religious,Autumn
Kharpunath,Darchula,Darchula,Historical,Autumn
Kamalbari Lake,Myagdi,Myagdi,Wildlife,Monsoon
Bungamati Village,Lalitpur,Lalitpur,Adventure,Autumn
Budhi Gandaki Valley,Gorkha,Gorkha,Natural,Autumn
Bhanbhane Pokhari,Okhaldhunga,Okhaldhunga,Wildlife,Winter
Ranighat Palace,Nawalpur,Nawalpur,Wildlife,Spring
Barpak,Gorkha,Gorkha,Historical,Monsoon
Nagi Village,Myagdi,Myagdi,Religious,Monsoon
Simikot,Humla,Humla,Cultural,Winter
Soti Khola,Solukhumbu,Solukhumbu,Religious,Monsoon
Chhintang,Sankhuwasabha,Sankhuwasabha,Adventure,Spring
Pathibhara Devi Temple,Taplejung,Taplejung,Adventure,Autumn
Muktinath Temple,Mustang,Mustang,Wildlife,All Year
Champadevi Hill,Kathmandu,Kathmandu,Adventure,Spring
Chepang Hill Trail,Chitwan,Chitwan,Wildlife,Spring
Khaptad Baba Ashram,Doti,Doti,Cultural,Monsoon
Gaurishankar Conservation Area,Dolakha,Dolakha,Historical,Winter
Pathibhara Devi Temple,Taplejung,Taplejung,Natural,Winter
Mohare Danda,Syangja,Syangja,Cultural,Autumn
Ashoka Pillar,Rupandehi,Rupandehi,Historical,Monsoon
Dattatreya Temple,Bhaktapur,Bhaktapur,Adventure,Autumn
Ashoka Pillar,Rupandehi,Rupandehi,Natural,Monsoon
Bhaktapur Durbar Square,Bhaktapur,Bhaktapur,Adventure,Monsoon
Baraha Pokhari,Sankhuwasabha,Sankhuwasabha,Wildlife,Autumn
Gupteshwor Cave,Kaski,Kaski,Natural,Spring
Bhujung Village,Lamjung,Lamjung,Adventure,Spring
Khandadevi Temple,Ramechhap,Ramechhap,Historical,Spring
Pashupatinath Temple,Kathmandu,Kathmandu,Adventure,Monsoon
Janaki Mandir,Dhanusha,Dhanusha,Cultural,Monsoon
Dattatreya Temple,Bhaktapur,Bhaktapur,Natural,Autumn
Maya Devi Temple,Rupandehi,Rupandehi,Wildlife,Winter
Badimalika Temple,Doti,Doti,Cultural,Monsoon
Tatopani Hot Spring,Myagdi,Myagdi,Historical,All Year
Silichho Peak,Dolakha,Dolakha,Cultural,All Year
Gorkha Durbar,Gorkha,Gorkha,Cultural,All Year
Patan Durbar Square,Lalitpur,Lalitpur,Natural,Spring
Everest Base Camp,Solukhumbu,Solukhumbu,Adventure,Spring
Manaslu Base Camp,Gorkha,Gorkha,Religious,All Year
Bardia National Park,Bardiya,Bardiya,Historical,Autumn
Salpa Pokhari,Dolakha,Dolakha,Historical,Monsoon
Tamang Heritage Trail,Rasuwa,Rasuwa,Religious,Winter
Lumbini - Birthplace of Buddha,Rupandehi,Rupandehi,Wildlife,Spring
Ghodaghodi Lake,Kailali,Kailali,Adventure,Winter
Madan Ashrit Memorial Park,Chitwan,Chitwan,Adventure,All Year
Pakhure Pokhari,Syangja,Syangja,Wildlife,Monsoon
Tengboche Monastery,Solukhumbu,Solukhumbu,Cultural,Monsoon
Simikot,Humla,Humla,Historical,Monsoon
Panchthar Tea Garden,Panchthar,Panchthar,Adventure,Spring
Bindabasini Temple (Bandipur),Tanahun,Tanahun,Natural,Winter
Pakuwal Lake,Sunsari,Sunsari,Cultural,Monsoon
Taudaha Lake,Kathmandu,Kathmandu,Wildlife,Spring
Trishuli River View,Nuwakot,Nuwakot,Adventure,Winter
Dodhara Chandani Bridge,Kailali,Kailali,Religious,Spring
Bardia National Park,Bardiya,Bardiya,Adventure,All Year
Pakuwal Lake,Sunsari,Sunsari,Cultural,All Year
Koshi Barrage,Saptari,Saptari,Cultural,Winter
Namobuddha,Kavrepalanchok,Kavrepalanchok,Wildlife,Spring
Lwang Ghalel Village,Lamjung,Lamjung,Wildlife,All Year
Siruwa Pokhari,Makwanpur,Makwanpur,Adventure,Autumn
Phulchowki Botanical Garden,Lalitpur,Lalitpur,Cultural,Autumn
Dhorpatan Valley,Baglung,Baglung,Religious,Spring
Hanuman Dhoka,Kathmandu,Kathmandu,Wildlife,Winter
Manakamana Temple,Gorkha,Gorkha,Adventure,Monsoon
Phulchowki Botanical Garden,Lalitpur,Lalitpur,Historical,Spring
Kanyam Tea Garden,Ilam,Ilam,Religious,Autumn
Bhairav Kunda,Sindhupalchok,Sindhupalchok,Wildlife,Spring
Chainpur Bazaar,Dhading,Dhading,Religious,Monsoon
International Mountain Museum,Kaski,Kaski,Adventure,Monsoon
Gahawa Mai Temple,Kapilvastu,Kapilvastu,Historical,Winter
Seti River Gorge,Doti,Doti,Adventure,Monsoon
Rupa Lake,Kaski,Kaski,Religious,Autumn
Simbuwa Khola Valley,Terhathum,Terhathum,Natural,All Year
Khaptad Baba Ashram,Doti,Doti,Wildlife,Spring
Madan Ashrit Memorial Park,Chitwan,Chitwan,Cultural,Spring
Bindabasini Temple (Bandipur),Tanahun,Tanahun,Adventure,Monsoon
Sirubari,Syangja,Syangja,Cultural,Winter
Bhotekoshi Bungee Jump,Sindhupalchok,Sindhupalchok,Adventure,All Year
Panauti,Kavrepalanchok,Kavrepalanchok,Cultural,Winter
Ramdhuni Mandir,Sunsari,Sunsari,Religious,Autumn
Siddhi Binayak,Kathmandu,Kathmandu,Cultural,Winter
World Peace Pagoda,Kaski,Kaski,Adventure,Monsoon
Hanuman Temple,Kathmandu,Kathmandu,Religious,All Year
Rupa Tal,Kaski,Kaski,Adventure,All Year
Namche Bazaar,Solukhumbu,Solukhumbu,Religious,Winter
Bhotekoshi Bungee Jump,Sindhupalchok,Sindhupalchok,Cultural,Autumn
Bishazari Tal,Chitwan,Chitwan,Wildlife,Monsoon
Champadevi Hill,Kathmandu,Kathmandu,Historical,Winter
Piple Hill,Kailali,Kailali,Adventure,Spring
Dhorpatan Valley,Baglung,Baglung,Natural,All Year
Timal Danda,Unknown,Unknown,Historical,Spring
Jalbire Waterfall,Sindhupalchok,Sindhupalchok,Adventure,Autumn
Bungamati Village,Lalitpur,Lalitpur,Wildlife,All Year
Tatopani,Myagdi,Myagdi,Religious,Winter
Makalu Base Camp,Sankhuwasabha,Sankhuwasabha,Adventure,Winter
Gosaikunda,Rasuwa,Rasuwa,Religious,Winter
Phewa Lake,Kaski,Kaski,Historical,Winter
Rani Pokhari,Kathmandu,Kathmandu,Adventure,Monsoon
Simikot,Humla,Humla,Religious,Autumn
Hiranya Varna Mahavihar,Kathmandu,Kathmandu,Religious,All Year
Belbari Forest,Morang,Morang,Natural,Autumn
Budhi Gandaki Valley,Gorkha,Gorkha,Religious,Autumn
Mahaboudha Temple,Kathmandu,Kathmandu,Adventure,Monsoon
Kanyam Tea Garden,Ilam,Ilam,Wildlife,Winter
Tilicho Lake,Manang,Manang,Adventure,All Year
Dakshinkali Temple,Kathmandu,Kathmandu,Wildlife,Autumn
Makalu Base Camp,Sankhuwasabha,Sankhuwasabha,Wildlife,Spring
Ramaroshan Wetland,Achham,Achham,Historical,Winter
Patal Bhuvaneshwor Cave,Lalitpur,Lalitpur,Natural,Spring
Ridi Bazaar,Gulmi,Gulmi,Religious,Spring
Chepang Hill Trail,Chitwan,Chitwan,Wildlife,Monsoon
Kagbeni,Mustang,Mustang,Historical,All Year
Bageshwori Temple,Banke,Banke,Historical,All Year
Bageshwori Temple,Banke,Banke,Wildlife,Spring
Saipal Base Camp,Bajhang,Bajhang,Adventure,Autumn
Naag Pokhari,Kathmandu,Kathmandu,Natural,Monsoon
Barpak Village,Gorkha,Gorkha,Wildlife,Winter
Okhaldhunga Memorial Park,Okhaldhunga,Okhaldhunga,Historical,Autumn
Lamjung Himal Base Camp,Lamjung,Lamjung,Wildlife,Monsoon
Jomsom,Mustang,Mustang,Natural,Winter
Aathbish Danda,Lamjung,Lamjung,Adventure,All Year
Mallaj,Myagdi,Myagdi,Natural,Winter
Panauti,Kavrepalanchok,Kavrepalanchok,Wildlife,All Year
Badimalika Temple,Doti,Doti,Religious,Winter
Thakurdwara,Bardiya,Bardiya,Adventure,All Year
Panch Pokhari,Sindhupalchok,Sindhupalchok,Adventure,Winter
Mohare Danda,Syangja,Syangja,Religious,All Year
Swargadwari,Pyuthan,Pyuthan,Natural,Monsoon
Sundarijal,Kathmandu,Kathmandu,Historical,Spring
Diktel Bazaar,Khotang,Khotang,Cultural,All Year
Ridi Bazaar,Gulmi,Gulmi,Wildlife,Autumn
Bhairabi Temple,Dolakha,Dolakha,Adventure,Autumn
Sandakpur,Ilam,Ilam,Adventure,Autumn
Kangchenjunga Base Camp,Taplejung,Taplejung,Adventure,All Year
Chandannath Temple,Jajarkot,Jajarkot,Religious,Autumn
Baraha Kshetra,Sunsari,Sunsari,Adventure,Winter
Simikot,Humla,Humla,Natural,All Year
Belbari Forest,Morang,Morang,Religious,All Year
Khandadevi Temple,Ramechhap,Ramechhap,Religious,Monsoon
Triveni Dham,Darchula,Darchula,Historical,Autumn
Rupa Tal,Kaski,Kaski,Religious,All Year
Bhedetar Zipline,Dhankuta,Dhankuta,Cultural,All Year
Diktel Bazaar,Khotang,Khotang,Cultural,Autumn
Rara Lake,Mugu,Mugu,Adventure,Spring
Siruwa Pokhari,Makwanpur,Makwanpur,Historical,Spring
Badimalika Temple,Doti,Doti,Natural,Spring
Charikot,Dolakha,Dolakha,Adventure,Spring
Kanyam Tea Garden,Ilam,Ilam,Cultural,Autumn
Badhaiya Tal,Rukum,Rukum,Adventure,Autumn
Chandragiri Hills,Kathmandu,Kathmandu,Adventure,Monsoon
Bhairahawa Buddha Park,Rupandehi,Rupandehi,Adventure,Spring
Kalinchowk,Dolakha,Dolakha,Cultural,All Year
Kulekhani Reservoir,Makwanpur,Makwanpur,Wildlife,Autumn
Barpak,Gorkha,Gorkha,Natural,Monsoon
Davis Falls,Kaski,Kaski,Religious,All Year
Tatopani,Myagdi,Myagdi,Historical,Winter
Bageshwori Temple,Banke,Banke,Natural,Autumn
Champadevi Hill,Kathmandu,Kathmandu,Historical,Spring
Birgunj Clock Tower,Parsa,Parsa,Cultural,Autumn
Bhanbhane Pokhari,Okhaldhunga,Okhaldhunga,Cultural,Spring
Phewa Lake,Kaski,Kaski,Religious,Winter
Namche Bazaar,Solukhumbu,Solukhumbu,Adventure,Spring
Tilicho Lake,Manang,Manang,Historical,Spring
Chhintang,Sankhuwasabha,Sankhuwasabha,Cultural,Spring
Simikot,Humla,Humla,Historical,Monsoon
Barpak Village,Gorkha,Gorkha,Adventure,All Year
Hanuman Dhoka,Kathmandu,Kathmandu,Religious,Autumn
Bhairabi Temple,Dolakha,Dolakha,Natural,Autumn
Deurali Gumba,Syangja,Syangja,Cultural,Monsoon
Bhujung Village,Lamjung,Lamjung,Natural,Spring
Bhairav Kunda,Sindhupalchok,Sindhupalchok,Adventure,Autumn
Baundeshwor Cave,Chitwan,Chitwan,Wildlife,Spring
Bhairav Kunda,Sindhupalchok,Sindhupalchok,Cultural,Spring
Maula Kalika Temple,Parbat,Parbat,Adventure,Monsoon
Hanuman Temple,Kathmandu,Kathmandu,Wildlife,Spring
Tindhare Waterfall,Sindhupalchok,Sindhupalchok,Cultural,Autumn
Namobuddha,Kavrepalanchok,Kavrepalanchok,Adventure,All Year
Manakamana Temple,Gorkha,Gorkha,Religious,Winter
Bhojpur Bazaar,Bhojpur,Bhojpur,Wildlife,Autumn
Bhojpur Bazaar,Bhojpur,Bhojpur,Adventure,Autumn
Hanuman Temple,Kathmandu,Kathmandu,Religious,Autumn
Bageshwori Temple,Banke,Banke,Adventure,Monsoon
Rara Lake,Mugu,Mugu,Adventure,Monsoon
Kharpunath,Darchula,Darchula,Wildlife,Monsoon
Siddha Gufa,Palpa,Palpa,Religious,All Year
Khokana,Lalitpur,Lalitpur,Cultural,Autumn
Siddhi Binayak,Kathmandu,Kathmandu,Natural,Spring
Guerrilla Trek,Rolpa,Rolpa,Wildlife,Monsoon
Rara Lake,Mugu,Mugu,Wildlife,All Year
Khaptad National Park,Doti,Doti,Adventure,Spring
Piple Hill,Kailali,Kailali,Adventure,Autumn
Banskharka Orange Farm,Syangja,Syangja,Adventure,Spring
Bhairav Kunda,Sindhupalchok,Sindhupalchok,Natural,Spring
Simikot,Humla,Humla,Cultural,Autumn
Tatopani,Myagdi,Myagdi,Adventure,Winter
Simikot,Humla,Humla,Religious,Monsoon
Narchyang Waterfall,Myagdi,Myagdi,Historical,Winter
Tilicho Lake,Manang,Manang,Cultural,Spring
Pashupatinath Temple,Kathmandu,Kathmandu,Religious,Monsoon
Ghodepani,Kaski,Kaski,Natural,Monsoon
Rangeli,Morang,Morang,Natural,All Year
Pathibhara Devi Temple,Taplejung,Taplejung,Adventure,Monsoon
Deurali Gumba,Syangja,Syangja,Adventure,All Year
Maula Kalika Temple,Parbat,Parbat,Wildlife,Spring
Phewa Lake,Kaski,Kaski,Wildlife,Spring
Rishikesh Complex (Devghat),Nawalpur,Nawalpur,Adventure,Winter
